
n_lancamento;data;descricao;valor;tipo
1;2022-06-03;Cafezinho;12.00;D
2;2022-06-03;Cafezinho;20.00;D
3;2022-06-03;Multas;30.00;D
4;2022-06-03;Recebimento de parcela;90.00;C
5;2022-06-03;Venda à vista;170.00;C
6;2022-06-03;Venda à vista;245.00;C
7;2022-06-03;Impostos e taxas;271.00;D
8;2022-06-03;Recebimento de parcela;325.00;C
9;2022-06-03;Venda à vista;345.00;C
10;2022-06-03;Recebimento de parcela;400.00;C
11;2022-06-03;Venda à vista;430.00;C
12;2022-06-03;Venda à vista;450.00;C
13;2022-06-03;Venda à vista;450.00;C
14;2022-06-03;Recebimento de parcela;495.00;C
15;2022-06-03;Aluguàl;930.00;D
16;2022-08-23;Cafezinho;22.00;D
17;2022-08-23;Recebimento de parcela;55.00;C
18;2022-08-23;Venda à vista;125.00;C
19;2022-08-23;Recebimento de parcela;135.00;C
20;2022-08-23;Venda à vista;205.00;C
21;2022-08-23;Impostos e taxas;272.00;D
22;2022-08-23;Pagamento de Fornecedor;290.00;D
23;2022-08-23;Venda à vista;385.00;C
24;2022-08-23;Recebimento de parcela;400.00;C
25;2022-06-04;Cafezinho;13.00;D
26;2022-06-04;Internet;106.00;D
27;2022-06-04;Venda à vista;235.00;C
28;2022-06-04;Recebimento de parcela;325.00;C
29;2022-06-04;Pagamento de Fornecedor;330.00;D
30;2022-06-04;Venda à vista;385.00;C
